id,freq,cui
4012122,11332,C0023824
4846925,283,C1736174
4160379,394,C0304553
4022344,32431,C0043352
4071782,100,C0154034
4625328,275,C1291732
4015238,5193,C0029883
5152426,110,C2938957
4035967,6151,C0060486
4136534,951,C0265343
4301207,247,C0520878
4742843,212,C1514819
4211033,11295,C0374997
4137142,829,C0266060
4542108,2661,C1102499
4078185,215,C0162680
4003819,3363,C0007841
4189354,1684,C0339961
4124412,135,C0238348
4016720,3117,C0032646
4196688,676,C0349208
4018221,1518,C0035339
4411407,6521,C0718215
5153490,160,C2940280
4125020,6855,C0241165
4738302,3170,C1508867
4111492,539,C0221541
5171825,1059,C2973529
4012445,9851,C0024523
4139137,743,C0268381
4411217,342,C0717726
4698554,724,C1395831
4125609,125228,C0242656
4351595,1237,C0594372
4909872,101,C1955521
4111302,873,C0221143
4456095,308,C0848451
4021394,1178,C0041364
4183578,1962,C0333173
4412015,117,C0718970
4226290,1255,C0400821
4147269,10301,C0277787
4247152,141,C0424001
4002888,383,C0006079
4550582,479,C1127544
4753578,793,C1527192
4625309,3970,C1291713
4184186,404,C0333866
4732526,120,C1456252
4278312,758,C0458074
4136515,420,C0265316
4002907,254,C0006110
4551969,157,C1129805
5152901,142,C2939462
4072960,4932,C0155616
5039414,107,C2746078
4251864,265,C0429199
4019817,575,C0038343
4865944,234,C1837534
4077862,526,C0162285
4008379,299,C0016644
4549784,702,C1126236
4231610,2519,C0406848
4492765,13386,C0937846
4562875,1846,C1145198
4021375,235,C0041330
4125191,584686,C0241889
4122037,193,C0233519
4821674,983,C1684405
4414542,184,C0722121
4213009,2162,C0379199
4125001,153,C0241057
4600077,1940,C1265883
4183749,708,C0333374
4906110,839,C1948900
4412186,636,C0719168
4281466,116,C0473119
4300162,579,C0517967
4415150,120,C0722905
4284430,631,C0476612
4247133,106,C0423982
4013623,3720,C0026850
4012350,2068,C0024337
4006935,7642,C0013973
4917795,137,C1965188
4243903,999,C0420338
4551361,266,C1128860
4416347,920,C0724464
4568632,549,C1168327
4150575,181,C0282666
4868357,5303,C1840264
4323019,644,C0560889
4393642,286,C0677829
4138092,1522,C0267167
4124564,765,C0238909
4499719,134,C0948201
4569829,415,C1170020
4008018,686,C0015980
4001596,2404,C0003493
4007372,459,C0014804
4296533,224,C0494158
4549765,196,C1126205
4004009,789,C0008161
4698706,131,C1401084
4058311,10814,C0104485
4246506,184,C0423276
4111454,6271,C0221392
4012673,169,C0024958
4184338,1169,C0334046
4254448,251,C0432098
4746206,3038,C1518345
4008322,989,C0016549
4550544,1127,C1127473
4419672,125,C0740391
4164274,310,C0311245
4402211,135,C0700525
4017575,165,C0034216
4120194,7453,C0231246
4335844,3617,C0574035
4996607,328,C2674622
4596030,7464,C1260920
4636367,798,C1303148
4193078,382,C0344622
4218671,187,C0392191
4862163,108,C1833302
4469148,769,C0876112
4889922,280,C1865276
4416860,309,C0729074
4420451,101,C0751059
4007391,876,C0014836
4738435,1011,C1509080
4414504,281,C0722061
4012996,882,C0025587
4007410,4376,C0014866
4183122,420,C0332667
4782876,196,C1569564
4111435,111,C0221365
4482961,14231,C0905678
4338447,23594,C0576709
4916560,3126,C1963003
4459192,127,C0854750
4914204,1421,C1960036
4163457,363,C0310391
4874456,176,C1847607
4053713,197,C0085607
4402192,988,C0700502
4955852,364,C2342400
4302119,434,C0522064
4538042,199,C1096543
4020729,224,C0040115
4312607,570,C0544711
4855589,464,C1820737
4548340,1043,C1123404
4028975,204,C0051982
4457957,141,C0853398
4037582,1552,C0062525
4012977,27280,C0025552
4001254,1679,C0002892
4124336,224,C0238113
4021299,555,C0041207
4134824,1065,C0263338
4870276,629,C1842658
4125134,7578,C0241633
4529473,227,C0989893
4247456,320,C0424337
4489725,4430,C0917861
4916541,1818,C1962975
4008854,21876,C0017547
4022154,47916,C0043031
4903811,895,C1882062
4443289,483,C0796396
4187454,2652,C0337600
4009386,267701,C0018681
4523887,710,C0977126
4500080,412,C0948594
4840845,110,C1718641
4073093,694,C0155787
4018449,10632,C0035750
4132810,200,C0260455
4037278,6205,C0062124
4124697,118,C0239636
4296856,170,C0494831
4420793,885,C0751507
4069388,118,C0149844
4720518,175,C1443048
4461529,2157,C0857334
4549898,1784,C1126470
4016530,2983,C0032268
4021907,16585,C0042523
4528846,4919,C0986198
4249983,1374,C0427086
4246829,110,C0423644
4199747,676,C0358131
4060838,1202,C0115137
4141550,1081,C0271298
4019931,4394,C0038529
4598177,192,C1263876
4013528,32395,C0026650
4022135,101,C0042994
4916712,105834,C1963185
4298072,25848,C0497247
4570152,163,C1170529
4401736,10924,C0699633
4916522,3761,C1962956
4142747,1194,C0272694
4550867,726,C1128066
4416062,3657,C0724055
4264290,3119,C0442765
4017499,557,C0034089
4132981,638,C0260662
4419615,115,C0740302
4005016,1944,C0010038
4120137,2704,C0231162
4412642,807,C0719752
4922108,12652,C1971624
4548492,1290,C1123695
4124678,116,C0239549
4078318,405,C0162830
4548302,543,C1123350
4276773,234,C0456377
4357257,213,C0606286
4781622,10732,C1568272
4243067,2391,C0419437
4528827,455,C0986111
4012578,192,C0024799
4051167,63014,C0080194
4071269,159,C0153405
4395162,133,C0685201
4598158,6220,C1263855
4049191,929,C0077034
4298243,8363,C0497805
4916693,3746,C1963164
4008493,228,C0016875
4459325,132,C0854892
4247418,566,C0424296
4108775,5811,C0209368
4469623,260,C0877208
4888117,189,C1863314
4122664,859,C0234260
4611268,159,C1277411
4022040,38862,C0042798
4419786,446,C0741292
4012160,4073,C0023892
4009044,1865,C0017968
4015561,143,C0030521
4247950,421,C0424897
4019608,37866,C0037928
4952052,456,C2266987
4321651,936,C0559469
4575282,174,C1176623
4548473,180,C1123670
4602889,24592,C1268740
4031388,185,C0054959
4008227,1244,C0016384
